species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes,ATTN during fieldwork,
AGPE,R,111,F1,111_F1,2017,2023,1.882,0.526,0,,,,,,2022 TNF,,
AGPE,R,111,I9,111_I9,2020,2023,1.281,1.169,0,,,,,,2022 TNF,,
AGPE,R,111,I10,111_I10,2020,2023,1.44,1.042,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,111,I24,111_I24,2020,2023,1.118,1.837,0,,,,,,,,
AGPE,R,111,I28,111_I28,2020,2023,1.589,2.027,0,,,,,,,,
AGPE,R,111,I31,111_I31,2020,2023,1.901,2.148,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,111,I39,111_I39,2020,2023,2.680,1.595,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,111,I42,111_I42,2020,2023,2.535,1.430,0,,,,,,,,
AGPE,R,111,I48,111_I48,2020,2023,1.621,0.888,0,,,,,,,,
AGPE,O21,111,8,111_orig21-8,2021,2023,1.126,1.333,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,111,J1,111_J1,2021,2023,0.691,1.640,0,,,,,,,,
AGPE,R,111,J3,111_J3,2021,2023,1.091,1.373,0,,,,,,,,
AGPE,R,111,J6,111_J6,2021,2023,1.931,0.610,0,,,,,,,,
AGPE,R,111,J8,111_J8,2021,2023,2.317,1.416,0,,,,,,,,
AGPE,O22,111,2,111_orig22-2,2022,2023,,,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,111,K1,K1,2022,2023,1.983,0.668,0,,,,,,,,
AGPE,R,111,K2,K2,2022,2023,1.479,1.227,0,,,,,,,,
AGPE,R,111,K3,K3,2022,2023,1.345,1.269,0,,,,,,,,
AGPE,R,111,K4,K4,2022,2023,1.150,1.913,0,,,,,,,,
AGPE,R,111,K5,K5,2022,2023,1.655,2.179,1,9,0,,,,,,
AGPE,R,111,K6,K6,2022,2023,2.526,2.272,0,,,,,,,,
AGPE,R,112,75A,112_75A,,2023,1.239,2.271,,,,,,,"2022 TNF, 2023 TNF","Probably marked as 112-75, but should be updated to 112_75A if the plant is alive",
AGPE,R,112,G9,112_G9,2019,2023,1.31,2.315,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,112,J3,112_J3,,2023,2.488,1.703,1,3,0,,,,,,
AGPE,R,112,J4,112_J4,,2023,2.490,1.591,1,14,0,,,,,,
