species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes
ELVI,O,92,18,1838,2007,2023,,,1,4,0,,,,
ELVI,R,92,H4,92_H4,2017,2023,,,1,2,0,,,,
ELVI,R,92,H7,92_H7,2017,2023,,,1,1,0,,,,
ELVI,R,93,i3,93_i3,2018,2023,,,1,1,0,,,,
ELVI,O,94,5,1865,2007,2023,,,1,1,0,,,,
ELVI,O,94,18,1877,2007,2023,,,1,10,10,17,16,12,
ELVI,O,94,20,1880,2007,2023,,,1,2,2,11,27,,
ELVI,O,94,13,1873,2007,2023,,,1,3,2,20,10,,
ELVI,R,94,4,94_4,2019,2023,2.933,1.848,1,4,3,10,25,26,
ELVI,R,94,6,94_6,2019,2023,1.151,2.004,,,,,,,2022 TNF
ELVI,R,94,F2,94_F2,2015,2023,,,1,1,0,,,,
ELVI,R,94,G15,94_G15,2016,2023,,,0,,,,,,
ELVI,R,94,G18,94_G18,2016,2023,2.359,1.756,1,1,0,,,,
ELVI,R,94,H1,94_H1,2017,2023,,,1,2,2,17,14,,
ELVI,R,94,H2,94_H2,2017,2023,,,1,2,2,11,8,,
ELVI,R,94,7,94_7,NA,2023,1.852,2.432,1,4,4,23,21,12,
ELVI,R,94,,94_8,,2023,2.091,1.479,1,1,1,18,,,older plant
ELVI,R,94,,94_9,,2023,2.584,1.309,1,2,0,,,,older plant
ELVI,R,94,,94_10,2023,2023,2.867,1.9,1,1,0,,,,
ELVI,R,94,,94_11,,2023,2.407,1.859,1,1,0,,,,older plant
ELVI,R,94,,94_12,,2023,2.238,1.829,1,2,2,12,17,,older plant
ELVI,R,94,,94_13,,2023,2.134,1.977,1,2,1,7,,,older plant
ELVI,R,94,,94_14A,2023,2023,2.134,1.977,1,1,0,,,,
ELVI,R,94,,94_14B,2023,2023,2.134,1.977,1,1,0,,,,
ELVI,R,94,,94_14C,2023,2023,2.134,1.977,1,1,0,,,,
ELVI,R,94,,94_15,2023,2023,1.242,2.363,1,1,0,,,,
ELVI,R,94,,94_16,2023,2023,2.199,2.323,1,1,0,,,,
ELVI,R,94,,94_17,2023,2023,2.095,2.389,1,1,0,,,,
ELVI,R,96,1,96_1,2019,2023,2.745,2.342,1,7,0,,,,
ELVI,R,96,2,96_2,2019,2023,2.736,2.4,1,5,0,,,,
ELVI,O,96,4,1904,2007,2023,,,,,,,,,TNF
ELVI,O,96,7,1907,2007,2023,,,0,,,,,,
ELVI,R,96,7,96_7,2019,2023,2.269,3.095,1,1,0,,,,
ELVI,R,96,9,96_9,NA,2023,1.692,2.732,,,,,,,2022 TNF
ELVI,R,96,10,96_10,2019,2023,1.791,2.743,1,1,0,,,,
ELVI,R,96,11,96_11,2019,2023,1.807,2.796,0,,,,,,2022 TNF
ELVI,O,96,12,1912,2007,2023,,,1,1,0,,,,
ELVI,R,96,13,96_13,2019,2023,1.275,2.615,0,,,,,,
ELVI,R,96,14,96_14,2019,2023,1.092,2.511,0,,,,,,2022 TNF
ELVI,R,96,18,96_18,2019,2023,0.572,2.415,0,,,,,,
ELVI,R,96,20,96_20,2019,2023,1.127,2.352,0,,,,,,2022 TNF
ELVI,R,96,21,96_21,2019,2023,1.211,2.23,0,,,,,,2022 TNF
ELVI,R,96,22,96_22,2019,2023,1.251,2.102,0,,,,,,
ELVI,R,96,23,96_23,2019,2023,1.594,1.732,0,,,,,,2022 TNF
ELVI,R,96,26,96_26,2019,2023,2.061,1.652,0,,,,,,2022 TNF
ELVI,R,96,27,96_27,2019,2023,2.064,1.064,,,,,,,2023 TNF
ELVI,R,96,29,96_29,2019,2023,1.244,1.722,0,,,,,,
ELVI,R,96,33,96_33,2019,2023,2.652,2.17,0,,,,,,
ELVI,R,96,36,96_36,2019,2023,2.216,2.586,,,,,,,2022 TNF
ELVI,R,96,F1,96_F1,2015,2023,0.968,2.145,1,1,0,,,,1 dead; 1 alive F1 plant
ELVI,R,96,F13,96_F13,2015,2023,,,0,,,,,,
ELVI,R,96,G3,96_G3,2016,2023,,,,,,,,,2022 TNF
ELVI,R,96,i1,96_i1,2017,2023,,,,,,,,,2022 TNF
ELVI,R,96,37,96_37,NA,2023,1.365,2.291,0,,,,,,
ELVI,R,96,38,96_38,2020,2023,1.818,2.944,0,,,,,,
ELVI,R,96,39,96_39,2020,2023,1.818,2.944,0,,,,,,
ELVI,R,96,41,96_41,NA,2023,3.188,1.558,0,,,,,,2022 TNF
ELVI,R,96,42,96_42,NA,2023,3.171,1.773,0,,,,,,2022 TNF
ELVI,R,96,44,96_44,NA,2023,1.835,2.344,1,1,0,,,,
ELVI,R,96,47,96_47,NA,2023,0.954,2.429,0,,,,,,
ELVI,R,96,50,96_50,2021,2023,2.43,1.84,,,,,,,2022 TNF
ELVI,R,96,51,96_51,,2023,1.619,2.551,0,,,,,,
ELVI,R,96,52,96_52,,2023,2.911,1.619,0,,,,,,
ELVI,R,96,53,96_53,,2023,2.731,0.82,0,,,,,,
ELVI,R,96,54,96_54,2022,2023,2.477,0.636,1,1,0,,,,
ELVI,R,96,55,96_55,,2023,2.322,0.715,1,3,0,,,,
ELVI,R,96,56,96_56,,2023,2.091,1.088,0,,,,,,
ELVI,R,96,57,96_57,,2023,2.164,0.993,1,1,1,18,,,
ELVI,R,96,58,96_58,,2023,1.917,1.023,1,1,0,,,,
ELVI,R,96,59,96_59,,2023,2.075,1.117,0,,,,,,
ELVI,R,96,60,96_60,2022,2023,2.751,2.321,1,1,0,,,,
ELVI,R,96,61A,96_61A,2022,2023,1.654,1.481,0,,,,,,
ELVI,R,96,61B,96_61B,2022,2023,1.654,1.481,0,,,,,,
ELVI,R,96,61C,96_61C,2022,2023,1.654,1.481,0,,,,,,
ELVI,R,96,61D,96_61D,2022,2023,1.654,1.481,0,,,,,,
ELVI,R,96,61E,96_61E,2022,2023,1.654,1.481,,,,,,,"TNF, should be next to A-D, probably dead"
ELVI,R,96,61F,96_61F,2022,2023,1.654,1.481,,,,,,,"TNF, should be next to A-D, probably dead"
ELVI,R,96,62A,96_62A,2022,2023,1.522,1.601,0,,,,,,
ELVI,R,96,62B,96_62B,2022,2023,1.522,1.601,0,,,,,,
ELVI,R,96,62C,96_62C,2022,2023,1.522,1.601,0,,,,,,
ELVI,R,96,62D,96_62D,2022,2023,1.522,1.601,0,,,,,,
ELVI,R,96,63,96_63,2022,2023,0.612,2.316,0,,,,,,
ELVI,R,96,64,96_64,2022,2023,0.527,2.406,0,,,,,,
ELVI,R,96,65A,96_65A,2022,2023,0.94,2.349,0,,,,,,
ELVI,R,96,65B,96_65B,2022,2023,0.94,2.349,0,,,,,,
ELVI,R,96,66,96_66,2022,2023,1.561,2.89,0,,,,,,
ELVI,R,96,67,96_67,2022,2023,0.567,2.962,0,,,,,,
ELVI,R,96,68,96_68,2022,2023,2.208,2.774,0,,,,,,
ELVI,R,96,69,96_69,2022,2023,2.216,2.817,0,,,,,,
ELVI,R,96,70,96_70,2022,2023,2.29,2.512,0,,,,,,
ELVI,R,96,71,96_71,2022,2023,2.22,2.42,0,,,,,,
ELVI,R,96,,96_72,2023,2023,2.783,2.252,1,1,0,,,,
ELVI,R,96,,96_73,2023,2023,3.093,1.64,1,1,0,,,,dead?
ELVI,R,96,74,96_74,,2023,2.853,2.513,1,2,1,13,,,"older plant, on plot edge"
ELVI,R,96,75,96_75,,2023,2.926,2.335,1,1,0,,,,"older plant, on plot edge"
ELVI,R,98,1,98_1,2019,2023,2.069,0.608,,,,,,,2022 TNF
ELVI,R,98,3,98_3,2019,2023,1.194,1.811,0,,,,,,
ELVI,R,98,4,98_4,2019,2023,0.84,2.365,,,,,,,2022 TNF
ELVI,R,98,J1,98_H1,2017,2023,,,1,8,1,6,,,
ELVI,R,98,i3,98_i3,2018,2023,,,,,,,,,2022 TNF
ELVI,R,98,i5,98_i5,2018,2023,2.049,1.502,1,2,0,,,,
ELVI,R,98,i9,98_i9,2018,2023,,,1,10,4,15,8,6,
ELVI,R,98,9,98_9,NA,2023,1.426,1.014,1,15,6,18,16,16,
ELVI,R,98,11,98_11,NA,2023,1.929,3.096,1,10,3,6,8,14,
ELVI,R,98,15,98_15,NA,2023,0.599,1.92,1,9,2,10,8,,
ELVI,R,98,16,98_16,2022,2023,0.854,1.704,0,,,,,,
ELVI,R,98,17,98_17,2022,2023,0.725,1.718,0,,,,,,
ELVI,R,98,18,98_18,2022,2023,0.806,1.732,0,,,,,,
ELVI,R,98,19,98_19,2022,2023,0.905,1.801,0,,,,,,
