species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes,
ELRI,O,101,4,2004,2007,2024,,,1,1,,,,,"maybe flowered?, inf broken",
ELRI,O,101,5,2005,2007,2024,,,1,3,0,,,,,
ELRI,O,101,13,2013,2007,2024,,,0,,,,,,,
ELRI,O,101,14,2014,2007,2024,,,0,,,,,,,
ELRI,R,101,18,101_18,2019,2024,2.127,2.37,0,,,,,,,
ELRI,R,101,21,101_21,2021,2024,2.326,2.324,0,,,,,,,
ELRI,R,101,29,101_29,2022,2024,1.838,2.092,0,,,,,,2022 tnf,
ELRI,R,101,40,101_40,2022,2024,2.715,1.328,1,1,0,,,,,
ELRI,R,101,45,101_45,2023,2024,,,0,,,,,,,
ELRI,R,101,46,101_46,2023,2024,,,0,,,,,,,
ELRI,R,101,48,101_48,,2024,,,0,,,,,,,
ELRI,R,101,49,101_49,2023,2024,,,,,,,,,2024 TNF ,
ELRI,R,101,50,50,,2024,1.036,2.468,1,1,0,,,,looks older,
ELRI,R,101,51,51,2024,2024,1.887,1.041,1,1,0,,,,,
ELRI,R,101,52,52,2024,2024,2.148,1.085,1,1,0,,,,,
ELRI,R,101,53,53,2024,2024,1.865,0.797,1,1,0,,,,,
ELRI,R,101,54,54,2024,2024,1.445,1.05,1,1,0,,,,,
ELRI,R,101,55,55,2024,2024,1.44,1.108,1,1,0,,,,,
ELRI,R,101,56,56,2024,2024,1.606,0.929,1,1,0,,,,,
ELRI,R,101,57,57,2024,2024,1.654,0.932,1,1,0,,,,,
ELRI,O,102,2,2022,2007,2024,,,0,,,,,,,
ELRI,O,102,8,2028,2007,2024,,,0,,,,,,maybe a hint of green? tag left in case it comes back,
ELRI,O,102,17,2037,2007,2024,,,0,,,,,,,
ELRI,R,102,E1,102_E1,2014,2024,,,1,9,0,,,,some tillers changed,
ELRI,R,102,5,102_5,2021,2024,2.01,1.485,0,,,,,,,
ELRI,R,102,6,6,2024,2024,0.744,1.223,1,1,0,,,,,
ELRI,R,102,7,7,2024,2024,0.909,1.608,1,1,0,,,,,
ELRI,R,102,8,8,2024,2024,1.857,0.643,1,1,0,,,,,
ELRI,R,102,9,9,2024,2024,1.874,0.682,1,1,0,,,,,
ELRI,R,102,10,10,2024,2024,2.031,0.416,1,1,0,,,,,
ELRI,O,103,2,2042,2007,2024,,,0,,,,,,,
ELRI,O,103,8,2048,2007,2024,,,0,,,,,,,
ELRI,O,103,12,2052,2007,2024,,,0,,,,,,"2 nearby untagged plants, young",
ELRI,O,103,13,2053,2007,2024,,,1,6,0,,,,,
ELRI,O,103,14,2054,2007,2024,,,1,1,0,,,,one tiller,
ELRI,R,103,14,103_14,2019,2024,1.856,1.08,1,2,0,,,,,
ELRI,R,103,F43,103_F43,2015,2024,,,,,,,,,2022 TNF,
ELRI,R,103,F91,103_F91,2015,2024,,,1,1,0,,,,,
ELRI,R,103,G3,103_G3,2016,2024,,,0,,,,,,,
ELRI,R,103,15,103_15,NA,2024,,,0,,,,,,,
ELRI,R,103,23,103_23,2021,2024,2.661,1.683,,,,,,,2022 TNF,
ELRI,R,103,26,103_26,2021,2024,2.33,0.492,0,,,,,,,
ELRI,R,103,27,103_27,2021,2024,2.469,0.457,0,,,,,,,
ELRI,R,103,28,103_28,2021,2024,2.647,0.433,,,,,,,2022 TNF,
ELRI,R,103,31,103_31,2021,2024,2.376,0.475,1,1,0,,,,herbivory,
ELRI,R,103,32,103_32,2021,2024,2.654,0.544,0,,,,,,,
ELRI,R,103,33,103_33,2021,2024,2.647,0.276,0,,,,,,,
ELRI,R,103,35,103_35,2021,2024,2.625,0.464,0,,,,,,,
ELRI,R,103,36,103_36,2021,2024,2.537,0.422,0,,,,,,,
ELRI,R,103,38,103_38,,2024,2.932,1.39,0,,,,,,,
ELRI,R,103,39,103_39,,2024,3.01,1.402,0,,,,,,,
ELRI,R,103,40,103_40,2023,2024,,,1,1,0,,,,,
ELRI,R,103,41,103_41,2023,2024,,,0,,,,,,,
ELRI,R,103,42,103_42,2023,2024,,,0,,,,,,,
ELRI,R,103,43,103_43,2023,2024,,,0,,,,,,,
ELRI,R,103,44,103_44,2023,2024,,,0,,,,,,,
ELRI,R,103,45,103_45,2023,2024,,,1,1,0,,,,,
ELRI,R,103,46,103_46,2023,2024,,,0,,,,,,,
ELRI,R,103,47,103_47,2023,2024,,,0,,,,,,,
ELRI,R,103,48,103_48,2023,2024,,,0,,,,,,,
ELRI,R,103,49,103_49,2023,2024,,,0,,,,,,,
ELRI,R,103,50,103_50,2023,2024,,,,,,,,,row is a mistake?,
