species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes,
ELVI,O,92,18,1838,2007,2025,,,0,,,,,,,
ELVI,R,92,H7,92_H7,2017,2025,,,0,,,,,,,
ELVI,O,94,18,1877,2007,2025,,,1,13,0,,,,,
ELVI,O,94,20,1880,2007,2025,,,1,2,1,5,,,,
ELVI,O,94,13,1873,2007,2025,,,1,3,0,,,,,
ELVI,R,94,4,94_4,2019,2025,2.933,1.848,1,2,1,13,,,,
ELVI,R,94,F2,94_F2,2015,2025,,,1,1,0,,,,,
ELVI,R,94,G18,94_G18,2016,2025,2.359,1.756,0,,,,,,,
ELVI,R,94,H1,94_H1,2017,2025,,,0,,,,,,,
ELVI,R,94,H2,94_H2,2017,2025,,,1,3,0,,,,,
ELVI,R,94,7,94_7,NA,2025,1.852,2.432,1,5,1,7,,,,
ELVI,R,94,11,94_11,,2025,,,0,,,,,,older plant,
ELVI,R,94,12,94_12,,2025,,,1,1,0,,,,older plant,
ELVI,R,94,17,94_17,2023,2025,,,1,1,0,,,,,
ELVI,R,94,,1864R,,2025,1.7,0.818,1,2,2,9,13,,"either original 1864 back to life or a recruit, we think this is original 1864",
ELVI,R,94,,18,,2025,1.156,2.173,1,2,0,,,,right spot for 94-6,
ELVI,R,94,,19,,2025,1.411,1.99,1,5,0,,,,,
ELVI,R,94,,20A,2024,2025,2.343,1.475,1,1,0,,,,"5 plants shared tag, 2 survivors, we kept tag as is",
ELVI,R,94,,20B,2024,2025,2.343,1.475,1,1,0,,,,"5 plants shared tag, 2 survivors, we kept tag as is",
ELVI,R,94,,20C,2024,2025,2.343,1.475,0,0,0,,,,"5 plants shared tag, 2 survivors, we kept tag as is",
ELVI,R,94,,20D,2024,2025,2.343,1.475,0,0,0,,,,"5 plants shared tag, 2 survivors, we kept tag as is",
ELVI,R,94,,20E,2024,2025,2.343,1.475,0,0,0,,,,"5 plants shared tag, 2 survivors, we kept tag as is",
ELVI,R,94,,21A,2024,2025,2.591,1.986,1,1,0,,,,shared tag,
ELVI,R,94,,21B,2024,2025,2.591,1.986,1,1,0,,,,shared tag,
ELVI,R,94,,21C,2024,2025,2.591,1.986,1,1,0,,,,shared tag,
ELVI,R,94,,21D,2024,2025,2.591,1.986,1,1,0,,,,shared tag,
ELVI,R,94,,22A,2024,2025,2.548,1.976,0,,,,,													,"shared tag, 2 FESU here, so either dead ELVI or misID",
ELVI,R,94,,22B,2024,2025,2.548,1.976,0,,,,,													,"shared tag, 2 FESU here, so either dead ELVI or misID",
ELVI,R,94,,23,2024,2025,2.554,2.063,0,,,,,,,
ELVI,R,94,,24A,2024,2025,2.539,2.011,1,1,0,,,,shared tag,
ELVI,R,94,,24B,2024,2025,2.539,2.011,1,1,0,,,,shared tag,
ELVI,R,94,,24C,2024,2025,2.539,2.011,1,1,0,,,,shared tag,
ELVI,R,94,,24D,2024,2025,2.539,2.011,1,1,0,,,,shared tag,
ELVI,R,94,,25,2024,2025,2.434,1.959,1,2,0,,,													,"shared tag,retag as 25",note to self: retagging to remove the letter part was maybe a bad idea
ELVI,R,95,,25B,2024,2025,2.434,1.959,0,,,,,,shared tag,
ELVI,R,94,,26,2024,2025,2.487,1.931,0,,,,,,,
ELVI,R,94,,27,2024,2025,2.157,2.143,0,,,,,,,
ELVI,,94,,28,,2025,2.496,1.924,1,1,0,,,,older plant,
ELVI,R,94,,29,2025,2025,2.192,1.449,1,1,0,,,,,
ELVI,R,94,,30A,2025,2025,1.652,2.122,1,1,0,,,,shared tag,
ELVI,R,94,,30B,2025,2025,1.652,2.122,1,1,0,,,,shared tag,
ELVI,R,94,,30C,2025,2025,1.652,2.122,1,1,0,,,,shared tag,
ELVI,R,94,,31,2025,2025,1.735,2.251,1,1,0,,,,,
ELVI,R,94,,32,2025,2025,1.604,2.144,1,1,0,,,,,
ELVI,R,94,,33,2025,2025,1.584,2.173,1,1,0,,,,,
ELVI,R,94,,34,2025,2025,1.699,2.51,1,1,0,,,,,
ELVI,R,94,,35,2025,2025,1.713,2.435,1,1,0,,,,,
ELVI,R,94,,36A,2025,2025,1.632,2.315,1,1,0,,,,shared tag,
ELVI,R,94,,36B,2025,2025,1.632,2.315,1,1,0,,,,shared tag,
ELVI,R,94,,36C,2025,2025,1.632,2.315,1,1,0,,,,shared tag,
ELVI,R,94,,36D,2025,2025,1.632,2.315,1,1,0,,,,shared tag,
ELVI,R,94,,36E,2025,2025,1.632,2.315,1,1,0,,,,shared tag,
ELVI,R,94,,36F,2025,2025,1.632,2.315,1,1,0,,,,shared tag,
ELVI,R,94,,37,2025,2025,1.844,2.234,1,1,0,,,,,
ELVI,,94,,38,,2025,2.095,1.472,1,1,0,,,,,
ELVI,R,94,,39,2025,2025,3.334,2.204,1,1,0,,,,just outside plot corner,
ELVI,R,96,1,96_1,2019,2025,2.745,2.342,1,3,1,4,,,,
ELVI,R,96,2,96_2,2019,2025,2.736,2.4,1,5,0,,,,,
ELVI,R,96,4,4,,2025,,,,,,,,,loose tag,
ELVI,O,96,4,1904,2007,2025,,,,,,,,,"TNF, 2024 TNF",
ELVI,R,96,10,96_10,2019,2025,1.791,2.743,1,1,0,,,,,
ELVI,O,96,12,1912,2007,2025,,,1,2,1,14,,,,
ELVI,R,96,F1,96_F1,2015,2025,0.968,2.145,1,1,0,,,,,
ELVI,R,96,44,96_44,NA,2025,1.835,2.344,0,,,,,,,
ELVI,R,96,45,96_45,,2025,,,,,,,,,loose tag,
ELVI,R,96,57,96_57,,2025,2.091,1.088,1,1,0,,,,,
ELVI,R,96,58,96_58,,2025,1.917,1.023,1,2,1,14,,,,
ELVI,R,96,72,96_72,,2025,,,,,,,,,TNF,
ELVI,R,96,74,96_74,,2025,,,,,,,,,TNF,
ELVI,R,96,75,96_75,,2025,,,,,,,,,TNF,
ELVI,R,96,,77,,2025,2.334,0.326,1,3,1,4,,,,
ELVI,R,96,,76,,2025,2.815,0.399,1,2,2,11,12,,,
ELVI,R,96,,78,,2025,0.776,2.059,1,4,3,5,5,11,,
ELVI,R,96,,79,,2025,1.636,2.11,1,3,0,,,,,
ELVI,,96,,80,,2025,2.092,2.753,1,1,0,,,,older plant,
ELVI,,96,,81,,2025,1.699,3.144,1,1,9,,,,,
ELVI,,96,,82,,2025,0.545,1.832,1,5,2,13,10,,"older plant, in position 1902",
ELVI,R,96,,83A,2025,2025,1.62,1.397,1,1,0,,,,shared tag,
ELVI,R,96,,83B,2025,2025,1.62,1.397,1,1,0,,,,shared tag,
ELVI,R,96,,84,2025,2025,1.633,1.38,1,1,0,,,,,
ELVI,R,98,J1,98_H1,2017,2025,,,1,,,,,,,
ELVI,R,98,,4,,2025,,,0,,,,,,,
ELVI,R,98,i5,98_i5,2018,2025,2.049,1.502,0,,,,,,2024 TNF,
ELVI,R,98,i9,98_i9,2018,2025,,,1,4,0,,,,herbivory,
ELVI,R,98,9,98_9,NA,2025,1.426,1.014,1,25,9,11,5,7,herbivory,
ELVI,R,98,11,98_11,NA,2025,1.929,3.096,1,9,0,,,,herbivory,
ELVI,R,98,15,98_15,NA,2025,0.599,1.92,1,8,0,,,,,
ELVI,R,98,,24,2024,2025,0.722,1.663,0,,,,,,,
ELVI,R,98,,25,2024,2025,1.721,1.023,0,,,,,,,
ELVI,R,98,,26,2024,2025,1.688,0.943,1,1,0,,,,,
ELVI,R,98,,27,2024,2025,1.816,0.782,1,1,0,,,,,
ELVI,R,98,,28A,2024,2025,1.442,0.932,1,1,0,,,,shared tag,
ELVI,R,98,,28B,2024,2025,1.442,0.932,1,1,0,,,,shared tag,
ELVI,R,98,,28C,2024,2025,1.442,0.932,1,1,0,,,,shared tag,
ELVI,R,98,,28D,2024,2025,1.442,0.932,1,1,0,,,,shared tag,
ELVI,,98,,29,,2025,2.442,1.45,0,,,,,,"unsure if tagged, probably 2023 birth",
ELVI,R,98,,30,2025,2025,1.712,0.983,1,1,0,,,,,
ELVI,,98,,31,,2025,1.619,0.967,1,2,0,,,,older,
ELVI,R,98,,32A,2025,2025,1.224,1.39,1,1,0,,,,shared tag,
ELVI,R,98,,32B,2025,2025,1.224,1.39,1,1,0,,,,shared tag,
ELVI,R,98,,33,2025,2025,0.602,1.538,1,1,0,,,,,
ELVI,R,98,,34,2025,2025,0.74,1.662,1,1,0,,,,,
ELVI,R,98,,35,2025,2025,0.76,1.642,1,1,0,,,,,
ELVI,R,98,,36,2025,2025,0.776,0.823,1,1,0,,,,,
ELVI,R,98,,37,2025,2025,1.908,2.668,1,1,0,,,,,
ELVI,R,98,,38,2025,2025,2.038,2.874,1,1,0,,,,,
ELVI,R,98,,39A,2025,2025,2.117,2.864,1,1,0,,,,shared tag,
ELVI,R,98,,39B,2025,2025,2.117,2.864,1,1,0,,,,shared tag,
ELVI,R,98,,39C,2025,2025,2.117,2.864,1,1,0,,,,shared tag,
ELVI,R,98,,39D,2025,2025,2.117,2.864,1,1,0,,,,shared tag,
ELVI,R,98,,39E,2025,2025,2.117,2.864,1,1,0,,,,shared tag,
ELVI,R,98,,39F,2025,2025,2.117,2.864,1,1,0,,,,shared tag,
ELVI,R,98,,40,2025,2025,2.207,2.934,1,1,0,,,,,
ELVI,O,99,7,1967,2007,2025,1.173,1.846,1,2,0,,,,,
ELVI,O,99,13,1973,2007,2025,1.947,1.633,1,8,1,5,,,,
ELVI,R,99,,1,2024,2025,2.383,1.667,1,1,0,,,,"unsure on sorting number, 99-1, 1 survived",
ELVI,R,99,,1B,2024,2025,2.383,1.667,0,1,0,,,,"unsure on sorting number, 99-1, 1 survived",
