Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/07,0,32.5,45,57.5,35.7,0.18,9.23
1/2/07,0,27.7,39.7,51.8,30,0.08,7.34
1/3/07,0,27.8,41.5,55.1,32,0.04,8.62
1/4/07,0.9,32.8,44.8,56.8,40.7,0.11,7.95
1/5/07,0.17,49.8,52.9,55.9,51.1,0.18,1.7
1/6/07,0,43.7,54.8,66,48.8,0.11,8.68
1/7/07,0.44,47.6,55.1,62.5,49.9,0.24,6.76
1/8/07,0,31.8,46.6,61.5,36.9,0.4,10.58
1/9/07,0,29.7,45.2,60.7,28.4,0.36,14.22
1/10/07,0,29.8,48.4,67,25.6,0.44,18.49
1/11/07,0,29.8,47.2,64.5,36,0.1,14.49
1/12/07,0,51,61.1,71.2,55.7,0.95,12.45
1/13/07,0,63,69.2,75.5,62.2,1.38,12.64
1/14/07,4.62,45.1,60.1,75.1,55,0.08,9.9
1/15/07,1.36,35.1,47.8,60.6,44.1,0.05,2.33
1/16/07,0.46,27.9,32.1,36.2,27.8,0.3,1.32
1/17/07,0.13,27.9,29.7,31.6,21.9,0.8,2.39
1/18/07,0.21,29.9,32.3,34.7,29.2,0.19,1.73
1/19/07,0.14,33.7,37.1,40.6,35.8,0.37,1.29
1/20/07,0,38.8,42.9,47.1,32.2,1.12,4.94
1/21/07,0.76,39.4,43.8,48.2,37.6,0.18,5.45
1/22/07,0,38.1,51.3,64.5,40.9,0.14,12.61
1/23/07,0,37,43.7,50.5,33.4,0.87,5.9
1/24/07,0.06,36.7,41,45.2,34.9,0.66,3.6
1/25/07,0,34.6,43.5,52.4,34.8,0.57,7.05
1/26/07,0,29.9,46.7,63.5,32.9,0.25,14.08
1/27/07,0,29.8,46.2,62.7,36.3,0.28,13.14
1/28/07,0.17,33.9,46.6,59.4,41.9,0.23,5.48
1/29/07,0,24,36.7,49.3,20.8,0.49,8.48
1/30/07,0.05,23.8,39.7,55.7,29.1,0.18,11.04
1/31/07,0.02,31.5,43.2,54.8,30.9,0.35,8.15
